0;25;55;255;0;0;0;0;0;0;0;0
1;25;255;0;0;0;0;0;0;0;0;0
2;255;0;0;0;0;0;0;0;0;0;0
3;255;0;0;0;0;0;0;0;0;0;0
4;25;55;255;0;0;0;0;0;0;0;0
5;9;19;29;39;49;59;255;0;0;0;0
6;10;20;31;41;51;255;0;0;0;0;0
7;1;11;19;21;31;41;51;255;0;0;0
8;1;11;21;31;41;51;255;0;0;0;0
9;1;3;10;11;13;21;23;31;41;51;255
10;1;11;21;31;41;51;53;255;0;0;0
11;0;1;3;11;13;21;31;41;51;255;0
12;1;11;21;31;41;43;51;53;255;0;0
13;1;3;11;21;31;41;51;255;0;0;0
14;1;11;21;31;39;41;49;51;59;255;0
15;1;9;11;19;21;31;41;51;255;0;0
16;1;11;21;29;31;41;49;51;255;0;0
17;1;9;11;21;29;31;41;51;255;0;0
18;1;10;12;27;30;44;59;255;0;0;0
19;14;29;44;59;255;0;0;0;0;0;0
20;14;29;44;255;0;0;0;0;0;0;0
21;1;16;31;41;46;255;0;0;0;0;0
22;2;25;55;255;0;0;0;0;0;0;0
23;25;55;255;0;0;0;0;0;0;0;0
0;25;55;255;0;0;0;0;0;0;0;0
1;25;255;0;0;0;0;0;0;0;0;0
2;255;0;0;0;0;0;0;0;0;0;0
3;255;0;0;0;0;0;0;0;0;0;0
4;55;255;0;0;0;0;0;0;0;0;0
5;25;55;255;0;0;0;0;0;0;0;0
6;25;55;255;0;0;0;0;0;0;0;0
7;25;55;255;0;0;0;0;0;0;0;0
8;14;29;44;59;255;0;0;0;0;0;0
9;14;29;44;59;255;0;0;0;0;0;0
10;14;26;36;46;56;255;0;0;0;0;0
11;6;16;26;36;46;56;255;0;0;0;0
12;6;16;26;36;46;56;255;0;0;0;0
13;6;16;26;36;46;56;255;0;0;0;0
14;6;16;26;36;46;56;255;0;0;0;0
15;6;16;26;36;46;56;255;0;0;0;0
16;6;16;26;36;46;56;255;0;0;0;0
17;6;15;18;30;44;59;255;0;0;0;0
18;14;24;29;44;59;255;0;0;0;0;0
19;14;29;44;59;255;0;0;0;0;0;0
20;14;29;44;255;0;0;0;0;0;0;0
21;1;16;31;41;46;255;0;0;0;0;0
22;2;25;55;255;0;0;0;0;0;0;0
23;25;55;255;0;0;0;0;0;0;0;0
0;25;55;255;0;0;0;0;0;0;0;0
1;25;255;0;0;0;0;0;0;0;0;0
2;255;0;0;0;0;0;0;0;0;0;0
3;255;0;0;0;0;0;0;0;0;0;0
4;55;255;0;0;0;0;0;0;0;0;0
5;25;55;255;0;0;0;0;0;0;0;0
6;25;55;255;0;0;0;0;0;0;0;0
7;25;55;255;0;0;0;0;0;0;0;0
8;21;51;255;0;0;0;0;0;0;0;0
9;14;29;44;59;255;0;0;0;0;0;0
10;14;29;44;59;255;0;0;0;0;0;0
11;14;29;44;59;255;0;0;0;0;0;0
12;14;29;44;59;255;0;0;0;0;0;0
13;14;29;44;59;255;0;0;0;0;0;0
14;14;29;44;59;255;0;0;0;0;0;0
15;14;29;44;59;255;0;0;0;0;0;0
16;14;29;44;59;255;0;0;0;0;0;0
17;14;29;44;59;255;0;0;0;0;0;0
18;14;29;44;59;255;0;0;0;0;0;0
19;14;29;44;59;255;0;0;0;0;0;0
20;14;29;44;255;0;0;0;0;0;0;0
21;1;16;31;41;46;255;0;0;0;0;0
22;2;25;55;255;0;0;0;0;0;0;0
23;25;55;255;0;0;0;0;0;0;0;0
